id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_stay_intention,propensity_score,exit_date,manager_efficacy_index,workload_index_mgr,stay_intention_index_mgr
1,445,0,Latin America,Manufacturing,Market Access,Meets,Male,38,9,5,11,1.75,3.84,1.97,0.0348,,2.8,3.7,2.1
2,300,0,Middle East & Africa,Commercial,Regulatory Affairs,Exceeds,Male,43,5,6,11,2.69,3.56,2.57,0.0743,,3.3,3.1,3.3
3,502,0,Asia Pacific,Manufacturing,Market Access,Exceeds,Male,38,7,9,12,3.91,2.16,1.0,0.0616,,3.5,2.5,1.0
4,209,0,Middle East & Africa,Commercial,Pharmacovigilance,Exceeds,Male,26,16,8,34,3.22,4.05,2.6,0.0743,,4.5,5.0,3.4
5,862,0,Middle East & Africa,HR,IT & Digital,Meets,Male,45,10,12,24,3.68,4.33,3.12,0.0383,,3.3,3.0,2.4
6,665,0,Europe,Digital,Quality Assurance,Meets,Male,39,32,9,14,4.08,3.07,2.41,0.0853,2026-03-24,,,
7,932,0,Asia Pacific,Finance,Data Science,Below,Female,25,14,9,22,4.46,3.99,3.75,0.0,,5.0,2.5,4.1
8,173,0,Asia Pacific,Commercial,Clinical Operations,Exceeds,Female,47,15,11,35,3.59,3.1,2.07,0.0743,,2.9,2.3,2.1
9,613,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,47,9,8,38,4.69,3.04,2.43,0.0853,,3.1,4.2,4.3
10,544,0,Middle East & Africa,Digital,Quality Assurance,Below,Female,32,14,6,14,2.31,2.7,1.68,0.0,,3.8,3.8,2.3
11,334,0,Latin America,Commercial,Data Science,Meets,Female,29,9,9,20,2.94,2.05,3.71,0.0422,,2.5,2.5,2.6
12,847,0,Asia Pacific,HR,Market Access,Meets,Male,45,12,5,12,2.69,2.35,1.75,0.0383,,3.7,3.4,1.8
13,130,0,Middle East & Africa,R&D,IT & Digital,Meets,Female,45,17,8,15,3.33,1.97,4.12,0.0977,,3.9,2.2,3.9
14,533,0,Europe,Digital,Regulatory Affairs,Below,Male,41,5,8,13,3.43,4.15,2.01,0.0,2026-01-30,,,
15,571,0,Latin America,Digital,Supply Chain,Meets,Male,35,14,9,12,2.8,3.04,3.37,0.0853,,3.3,2.1,3.9
16,708,0,Europe,HR,Medical Affairs,Below,Female,33,12,8,14,4.21,4.15,1.99,0.0,,3.9,3.0,3.3
17,777,0,Latin America,HR,Marketing,Meets,Male,42,29,12,24,1.0,1.01,1.55,0.0383,,1.0,3.6,1.4
18,491,0,Middle East & Africa,Manufacturing,Sales,Exceeds,Male,34,6,9,25,4.19,1.99,2.86,0.0616,,3.3,2.5,3.5
19,813,0,North America,HR,Regulatory Affairs,Meets,Female,34,10,11,13,2.75,2.53,1.36,0.0383,,3.9,2.4,2.3
20,605,0,Latin America,Digital,Market Access,Meets,Female,43,8,11,17,3.62,3.86,4.99,0.0853,,5.0,3.1,3.1
21,284,0,Europe,Commercial,Regulatory Affairs,Meets,Female,44,5,5,6,2.17,3.18,2.95,0.0422,2026-01-03,,,
