id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,is_new_manager,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_turnover_intention,propensity_score,retention_3month,retention_6month,retention_9month,retention_12month,manager_efficacy_index,workload_index_mgr,turnover_intention_index_mgr
1,367,0,Latin America,Manufacturing,Market Access,Meets,Male,38,9,0,5,12,1.7,4.0,3.2,0.0348,1,1,1,1,2.1,5.0,2.5
2,262,0,Middle East & Africa,Commercial,Regulatory Affairs,Exceeds,Male,43,5,1,9,13,0.0,2.1,4.0,0.0743,1,1,1,1,3.5,2.7,4.3
3,433,0,Asia Pacific,Manufacturing,Market Access,Exceeds,Male,38,7,0,6,10,2.3,2.9,2.8,0.0616,0,0,0,0,3.2,4.8,3.2
4,326,0,Middle East & Africa,Commercial,Pharmacovigilance,Exceeds,Male,28,16,0,11,39,4.6,1.0,3.4,0.0743,1,1,1,1,4.7,1.7,3.5
5,786,0,Middle East & Africa,HR,IT & Digital,Meets,Male,45,10,0,11,20,3.1,3.1,2.5,0.0383,1,1,1,1,2.8,3.6,2.2
6,615,0,Europe,Digital,Quality Assurance,Meets,Male,39,32,0,7,21,4.1,3.5,2.7,0.0853,1,1,1,1,3.2,3.6,2.4
7,908,0,Asia Pacific,Finance,Data Science,Below,Female,28,14,0,7,11,5.0,3.8,2.2,0.0,1,0,0,0,4.1,3.2,1.8
8,291,1,Asia Pacific,Commercial,Clinical Operations,Exceeds,Female,47,15,0,5,6,2.0,3.2,2.4,0.0743,1,1,1,1,1.8,2.8,2.8
9,691,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,47,9,0,12,24,3.3,3.1,2.7,0.0853,1,1,1,1,3.5,3.7,2.3
10,524,0,Middle East & Africa,Digital,Quality Assurance,Below,Female,32,14,0,7,13,2.6,3.1,2.6,0.0,1,1,1,1,2.9,3.4,2.3
11,207,0,Latin America,Commercial,Data Science,Meets,Female,29,9,0,11,23,3.1,2.5,2.4,0.0422,1,1,1,1,3.0,1.5,2.3
12,797,0,Asia Pacific,HR,Market Access,Meets,Male,45,12,1,12,22,0.0,3.3,1.3,0.0383,1,1,1,1,3.8,4.2,2.0
13,56,0,Middle East & Africa,R&D,IT & Digital,Meets,Female,45,17,1,10,13,0.0,4.7,3.0,0.0977,1,1,1,1,1.8,4.2,3.8
14,666,0,Europe,Digital,Regulatory Affairs,Below,Male,41,5,0,8,21,3.9,3.9,2.4,0.0,1,1,1,1,2.9,3.7,4.3
15,687,0,Latin America,Digital,Supply Chain,Meets,Male,35,14,0,6,14,4.3,3.5,2.5,0.0853,1,1,1,1,4.2,3.5,2.1
16,820,0,Europe,HR,Medical Affairs,Below,Female,33,12,0,7,22,3.7,3.0,2.8,0.0,0,0,0,0,4.0,3.4,3.0
17,824,0,Latin America,HR,Marketing,Meets,Male,42,29,0,9,38,3.8,3.1,3.5,0.0383,1,1,1,1,4.2,1.8,3.0
18,357,0,Middle East & Africa,Manufacturing,Sales,Exceeds,Male,34,6,0,11,13,3.1,4.1,1.8,0.0616,1,1,1,1,3.4,3.2,2.2
19,830,0,North America,HR,Regulatory Affairs,Meets,Female,34,10,1,7,14,0.0,3.9,2.5,0.0383,1,1,1,1,1.7,5.0,2.0
20,584,0,Latin America,Digital,Market Access,Meets,Female,43,8,0,11,17,3.2,4.0,1.0,0.0853,1,1,1,1,2.6,3.5,1.5
21,274,0,Europe,Commercial,Regulatory Affairs,Meets,Female,44,5,0,11,16,3.3,4.8,3.2,0.0422,1,1,1,1,4.0,3.7,4.4
22,128,0,Middle East & Africa,R&D,Legal & Compliance,Meets,Female,47,13,0,10,17,3.1,3.7,4.2,0.0977,1,1,1,1,4.0,3.7,4.6
